#
# Character table extracted from font
#
0x000	U+25c0
0x001	U+263a
0x002	U+263b
0x003	U+2665
0x004	U+2666
0x005	U+2663
0x006	U+2660
0x007	U+2022
0x008	U+25d8
0x009	U+25cb
0x00a	U+25d9
0x00b	U+2642
0x00c	U+2640
0x00d	U+266a
0x00e	U+266b
0x00f	U+263c
0x010	U+25b6
0x011	U+00a9
0x012	U+2195
0x013	U+203c
0x014	U+00b6
0x015	U+00a7
0x016	U+25ac
0x017	U+21a8
0x018	U+2191
0x019	U+2193
0x01a	U+2192
0x01b	U+2190
0x01c	U+221f
0x01d	U+2194
0x01e	U+25b2
0x01f	U+25bc
0x020	U+0020
0x021	U+0021
0x022	U+0022
0x023	U+0023
0x024	U+0024
0x025	U+0025
0x026	U+0026
0x027	U+0027
0x028	U+0028
0x029	U+0029
0x02a	U+002a
0x02b	U+002b
0x02c	U+002c
0x02d	U+002d
0x02e	U+002e
0x02f	U+002f
0x030	U+0030
0x031	U+0031
0x032	U+0032
0x033	U+0033
0x034	U+0034
0x035	U+0035
0x036	U+0036
0x037	U+0037
0x038	U+0038
0x039	U+0039
0x03a	U+003a
0x03b	U+003b
0x03c	U+003c
0x03d	U+003d
0x03e	U+003e
0x03f	U+003f
0x040	U+0040
0x041	U+0041
0x042	U+0042
0x043	U+0043
0x044	U+0044
0x045	U+0045
0x046	U+0046
0x047	U+0047
0x048	U+0048
0x049	U+0049
0x04a	U+004a
0x04b	U+004b
0x04c	U+004c
0x04d	U+004d
0x04e	U+004e
0x04f	U+004f
0x050	U+0050
0x051	U+0051
0x052	U+0052
0x053	U+0053
0x054	U+0054
0x055	U+0055
0x056	U+0056
0x057	U+0057
0x058	U+0058
0x059	U+0059
0x05a	U+005a
0x05b	U+005b
0x05c	U+005c
0x05d	U+005d
0x05e	U+005e
0x05f	U+005f
0x060	U+0060
0x061	U+0061
0x062	U+0062
0x063	U+0063
0x064	U+0064
0x065	U+0065
0x066	U+0066
0x067	U+0067
0x068	U+0068
0x069	U+0069
0x06a	U+006a
0x06b	U+006b
0x06c	U+006c
0x06d	U+006d
0x06e	U+006e
0x06f	U+006f
0x070	U+0070
0x071	U+0071
0x072	U+0072
0x073	U+0073
0x074	U+0074
0x075	U+0075
0x076	U+0076
0x077	U+0077
0x078	U+0078
0x079	U+0079
0x07a	U+007a
0x07b	U+007b
0x07c	U+007c
0x07d	U+007d
0x07e	U+007e
0x07f	U+00ae
0x080	U+00c7
0x081	U+00fc
0x082	U+00e9
0x083	U+00e2
0x084	U+00e4
0x085	U+00e0
0x086	U+0102
0x087	U+00e7
0x088	U+00ea
0x089	U+00eb
0x08a	U+00e8
0x08b	U+00ef
0x08c	U+00ee
0x08d	U+0103
0x08e	U+00c4
0x08f	U+0401
0x090	U+00c9
0x091	U+00e6
0x092	U+00c6
0x093	U+00f4
0x094	U+00f6
0x095	U+0406
0x096	U+00fb
0x097	U+00f9
0x098	U+00ff
0x099	U+00d6
0x09a	U+00dc
0x09b	U+00a2
0x09c	U+00a3
0x09d	U+00a5
0x09e	U+20a7
0x09f	U+0408
0x0a0	U+00e1
0x0a1	U+00ed
0x0a2	U+00f3
0x0a3	U+00fa
0x0a4	U+00f1
0x0a5	U+00d1
0x0a6	U+00aa
0x0a7	U+00ba
0x0a8	U+00bf
0x0a9	U+2310
0x0aa	U+00ac
0x0ab	U+00bd
0x0ac	U+00bc
0x0ad	U+00a1
0x0ae	U+00ab
0x0af	U+00bb
0x0b0	U+2591
0x0b1	U+2592
0x0b2	U+2593
0x0b3	U+2502
0x0b4	U+2524
0x0b5	U+2561
0x0b6	U+2562
0x0b7	U+2556
0x0b8	U+2555
0x0b9	U+2563
0x0ba	U+2551
0x0bb	U+2557
0x0bc	U+255d
0x0bd	U+255c
0x0be	U+255b
0x0bf	U+2510
0x0c0	U+2514
0x0c1	U+2534
0x0c2	U+252c
0x0c3	U+251c
0x0c4	U+2500
0x0c5	U+253c
0x0c6	U+255e
0x0c7	U+255f
0x0c8	U+255a
0x0c9	U+2554
0x0ca	U+2569
0x0cb	U+2566
0x0cc	U+2560
0x0cd	U+2550
0x0ce	U+256c
0x0cf	U+2567
0x0d0	U+2568
0x0d1	U+2564
0x0d2	U+2565
0x0d3	U+2559
0x0d4	U+2558
0x0d5	U+2552
0x0d6	U+2553
0x0d7	U+256b
0x0d8	U+256a
0x0d9	U+2518
0x0da	U+250c
0x0db	U+2588
0x0dc	U+2584
0x0dd	U+258c
0x0de	U+2590
0x0df	U+2580
0x0e0	U+040e
0x0e1	U+00df
0x0e2	U+040f
0x0e3	U+03c0
0x0e4	U+0410
0x0e5	U+0411
0x0e6	U+00b5
0x0e7	U+0412
0x0e8	U+0413
0x0e9	U+0414
0x0ea	U+0415
0x0eb	U+0416
0x0ec	U+221e
0x0ed	U+0417
0x0ee	U+0418
0x0ef	U+2229
0x0f0	U+2261
0x0f1	U+00b1
0x0f2	U+2265
0x0f3	U+2264
0x0f4	U+2320
0x0f5	U+2321
0x0f6	U+00f7
0x0f7	U+2248
0x0f8	U+00b0
0x0f9	U+2219
0x0fa	U+00b7
0x0fb	U+221a
0x0fc	U+207f
0x0fd	U+00b2
0x0fe	U+25a0
0x0ff	U+00a0
0x100	U+0419
0x101	U+041a
0x102	U+041b
0x103	U+041c
0x104	U+041d
0x105	U+041e
0x106	U+041f
0x107	U+0420
0x108	U+0421
0x109	U+0422
0x10a	U+0423
0x10b	U+0424
0x10c	U+0425
0x10d	U+0426
0x10e	U+0427
0x10f	U+0428
0x110	U+0429
0x111	U+042a
0x112	U+042b
0x113	U+042c
0x114	U+042d
0x115	U+042e
0x116	U+042f
0x117	U+0430
0x118	U+0431
0x119	U+0432
0x11a	U+0433
0x11b	U+0434
0x11c	U+0435
0x11d	U+0436
0x11e	U+0437
0x11f	U+0438
0x120	U+0439
0x121	U+043a
0x122	U+043b
0x123	U+043c
0x124	U+043d
0x125	U+043e
0x126	U+043f
0x127	U+0440
0x128	U+0441
0x129	U+0442
0x12a	U+0443
0x12b	U+0444
0x12c	U+0445
0x12d	U+0446
0x12e	U+0447
0x12f	U+0448
0x130	U+0449
0x131	U+044a
0x132	U+044b
0x133	U+044c
