#
# Character table extracted from font
#
0x000	U+00a4
0x001	U+00a6
0x002	U+00a8
0x003	U+00a9
0x004	U+2666 U+25c8 U+fffd
0x005	U+00ae
0x006	U+00b4
0x007	U+2022 U+25cf
0x008	U+00b8
0x009	U+00c1
0x00a	U+00c2
0x00b	U+00cb U+0401
0x00c	U+00cd
0x00d	U+00ce
0x00e	U+00d3
0x00f	U+00d4
0x010	U+00d7
0x011	U+00da
0x012	U+00dd
0x013	U+00fd
0x014	U+00b6
0x015	U+00a7
0x016	U+0102 U+04d0
0x017	U+0103 U+04d1
0x018	U+2191 U+25b2 U+25b4
0x019	U+2193 U+25bc U+25be
0x01a	U+2192 U+25b6 U+25b8
0x01b	U+2190 U+25c0 U+25c2
0x01c	U+0104
0x01d	U+0105
0x01e	U+0106
0x01f	U+0107
0x020	U+0020 U+00a0 U+2000 U+2001 U+2002 U+2003 U+2004 U+2005 U+2006 U+2007 U+2008 U+2009 U+200a U+202f
0x021	U+0021
0x022	U+0022
0x023	U+0023
0x024	U+0024
0x025	U+0025
0x026	U+0026
0x027	U+0027
0x028	U+0028
0x029	U+0029
0x02a	U+002a U+229b
0x02b	U+002b U+2295
0x02c	U+002c
0x02d	U+002d U+2012 U+2013 U+2212 U+00ad U+2010 U+2011 U+2296
0x02e	U+002e U+2299 U+2610
0x02f	U+002f U+2298 U+2571
0x030	U+0030 U+24ea
0x031	U+0031 U+2460
0x032	U+0032 U+2461
0x033	U+0033 U+2462
0x034	U+0034 U+2463
0x035	U+0035 U+2464
0x036	U+0036 U+2465
0x037	U+0037 U+2466
0x038	U+0038 U+2467
0x039	U+0039 U+2468
0x03a	U+003a
0x03b	U+003b
0x03c	U+003c
0x03d	U+003d U+229c
0x03e	U+003e
0x03f	U+003f
0x040	U+0040
0x041	U+0041 U+0410 U+0391 U+24b6
0x042	U+0042 U+0412 U+0392 U+24b7
0x043	U+0043 U+0421 U+24b8
0x044	U+0044 U+24b9
0x045	U+0045 U+0415 U+0395 U+24ba
0x046	U+0046 U+24bb
0x047	U+0047 U+24bc
0x048	U+0048 U+041d U+0397 U+24bd
0x049	U+0049 U+0406 U+0399 U+24be
0x04a	U+004a U+0408 U+24bf
0x04b	U+004b U+041a U+039a U+212a U+24c0
0x04c	U+004c U+24c1
0x04d	U+004d U+041c U+039c U+24c2
0x04e	U+004e U+039d U+24c3
0x04f	U+004f U+041e U+039f U+24c4
0x050	U+0050 U+0420 U+03a1 U+24c5
0x051	U+0051 U+24c6
0x052	U+0052 U+24c7
0x053	U+0053 U+0405 U+24c8
0x054	U+0054 U+0422 U+03a4 U+24c9
0x055	U+0055 U+24ca
0x056	U+0056 U+24cb
0x057	U+0057 U+24cc
0x058	U+0058 U+0425 U+03a7 U+24cd U+2573
0x059	U+0059 U+04ae U+24ce
0x05a	U+005a U+0396 U+24cf
0x05b	U+005b
0x05c	U+005c U+2572
0x05d	U+005d
0x05e	U+005e
0x05f	U+005f
0x060	U+0060
0x061	U+0061 U+0430 U+24d0
0x062	U+0062 U+24d1
0x063	U+0063 U+0441 U+24d2
0x064	U+0064 U+24d3
0x065	U+0065 U+0435 U+24d4
0x066	U+0066 U+24d5
0x067	U+0067 U+24d6
0x068	U+0068 U+24d7
0x069	U+0069 U+0456 U+24d8
0x06a	U+006a U+0458 U+24d9
0x06b	U+006b U+24da
0x06c	U+006c U+24db
0x06d	U+006d U+24dc
0x06e	U+006e U+24dd
0x06f	U+006f U+043e U+24de
0x070	U+0070 U+0440 U+24df
0x071	U+0071 U+24e0
0x072	U+0072 U+24e1
0x073	U+0073 U+0455 U+0073 U+24e2
0x074	U+0074 U+24e3
0x075	U+0075 U+24e4
0x076	U+0076 U+24e5 U+2611
0x077	U+0077 U+24e6
0x078	U+0078 U+0445 U+24e7 U+2612 U+2717 U+2718 U+2bbd
0x079	U+0079 U+0443 U+24e8
0x07a	U+007a U+24e9
0x07b	U+007b
0x07c	U+007c
0x07d	U+007d
0x07e	U+007e
0x07f	U+010c
0x080	U+00c7
0x081	U+00fc
0x082	U+00e9
0x083	U+00e2
0x084	U+00e4
0x085	U+00e0
0x086	U+010d
0x087	U+00e7
0x088	U+00ea
0x089	U+00eb U+0451
0x08a	U+00e8
0x08b	U+010e
0x08c	U+00ee
0x08d	U+010f
0x08e	U+00c4
0x08f	U+00d0 U+0110
0x090	U+00c9
0x091	U+0111
0x092	U+0118
0x093	U+00f4
0x094	U+00f6
0x095	U+0119
0x096	U+011a
0x097	U+011b
0x098	U+0139
0x099	U+00d6
0x09a	U+00dc
0x09b	U+013a
0x09c	U+00a3
0x09d	U+013d
0x09e	U+013e
0x09f	U+0141
0x0a0	U+00e1
0x0a1	U+00ed
0x0a2	U+00f3
0x0a3	U+00fa
0x0a4	U+00f1
0x0a5	U+00d1
0x0a6	U+0142
0x0a7	U+0143
0x0a8	U+00bf
0x0a9	U+0144
0x0aa	U+00ac
0x0ab	U+0147
0x0ac	U+0148
0x0ad	U+00a1
0x0ae	U+00ab U+226a
0x0af	U+00bb U+226b
